audienceType,name,categorySummary,summary
"Crafted Audience","Skateboarding Enthusiasts","Lifestyle > Activities > Skateboarding Enthusiasts","People researching skateboarding communities, techniques and equipment."
"Crafted Audience","Ski House Second Home Owners","Consumer > Retail > Home > Ski House Second Home Owners","People who own a second home in a ski town. These consumers are more likely to spend money on winter activities and ski gear."
"Crafted Audience","Ski and Snowboard Apparel Shoppers","Consumer > Retail > Apparel > Ski and Snowboard Apparel Shoppers","Consumers shopping for winter clothing from ski and snowboarding apparel brands."
"Crafted Audience","Ski and Snowboard Enthusiasts","Lifestyle > Activities > Sports > Ski and Snowboard Enthusiasts","Consumers reading reviews of ski resorts and snow reports."
"Crafted Audience","Skin Care Researchers","Consumer > CPG > Beauty > Skin Care Researchers","People reading about skin care techniques."
"Crafted Audience","Sleep Disorder Researchers","Consumer > Healthcare > Sleep Disorder Researchers","People researching sleep loss disorders and treatment options."
"Location Audience","Sleep Inn","Points of interest > Travel > Hotels > Sleep Inn","People in this audience have recently visited a Sleep Inn location."
"Location Audience","Sleep Number","Points of interest > Retail > Home > Sleep Number","People in this audience have recently visited a Sleep Number location."
"Crafted Audience","Sleep Researchers","Consumer > Healthcare > Sleep Researchers","People researching sleep disorders."
"Location Audience","Sleep Train","Points of interest > Retail > Home > Sleep Train","People in this audience have recently visited a Sleep Train location."
"Crafted Audience","Sleepwear Shoppers","Consumer > Retail > Apparel > Sleepwear Shoppers","Consumers shopping for sleepwear."
"Content Cluster","Small Business Resources","Content Clusters > Small Business Resources","People in this audience are interested in small business resources, news, and software."
"Crafted Audience","Smart Home Product Researchers","Consumer > Electronics > Smart Home Product Researchers","Consumers comparing and shopping for smart home products."
"Content Cluster","Smart Travel","Content Clusters > Smart Travel","People in this audience are interested in frequent flyer miles, travel blogs, airlines, and travel planning."
"Crafted Audience","Smartphone Case Shoppers","Consumer > Electronics > Smartphone Case Shoppers","Consumers shopping for smartphone cases and mobile accessories."
"Content Cluster","Smartphones","Content Clusters > Smartphones","People in this audience are interested in smartphones, including content about Android and apps."
"Location Audience","Smash Burger","Consumer > CPG > Food > Smash Burger","People in this audience have recently visited a Smash Burger location"
"Location Audience","Smith's","Points of interest > Retail > Grocery > Smith's","People in this audience have recently visited a Smith's location."
"Crafted Audience","Smoking Cessation Intenders","Consumer > Healthcare > Smoking Cessation Intenders","People researching available products and services to stop smoking cigarettes."
"Crafted Audience","Smoky Mountains Trip Planners","Consumer > Travel > Smoky Mountains Trip Planners","People researching attractions and accommodations in the Smoky Mountains region. These consumers are more likely to spend money on travel and local attractions."
"Location Audience","Smoothie King","Points of interest > Restaurants > QSR > Smoothie King","People in this audience have recently visited a Smoothie King location."
"Location Audience","Snap Fitness","Points of interest > Health > Fitness Clubs > Snap Fitness","People in this audience have recently visited a Snap Fitness location."
"Crafted Audience","Snow Removal Researchers","Consumer > Retail > Home > Snow Removal Researchers","Consumers researching and comparing snow removal equipment brands."
"Crafted Audience","Soap Opera Watchers","Consumer > Media > Soap Opera Watchers","Consumers watching and reading about popular soap opera television shows."
"Crafted Audience","Soap Shoppers","Consumer > Retail > Home > Soap Shoppers","Consumers shopping for soap and other household cleaning products."
"Crafted Audience","Soccer Fans","Consumer > Media > Sports Fans > Soccer Fans","People who love visiting websites and reading about soccer."
"Content Cluster","Social & Demographic Trends","Content Clusters > Social & Demographic Trends","People in this audience are interested in social and demographic trends, including public policy and immigration."
"Crafted Audience","Social Conservatives","Lifestyle > Political > Social Conservatives","People reading right-leaning social issues websites."
"Crafted Audience","Social Liberals","Lifestyle > Political > Social Liberals","People reading left-leaning social issues websites."
"Crafted Audience","Soda Drinkers","Consumer > CPG > Food > Soda Drinkers","Consumers researching soda companies and purchasing soda online."
"Crafted Audience","Softball Enthusiasts","Lifestyle > Activities > Sports > Softball Enthusiasts","People researching softball leagues and purchasing equipment and apparel."
"Crafted Audience","Software Directory Researchers","Consumer > B2B > Software Directory Researchers","Professionals reading industry news on software directories."
"Crafted Audience","Solar Energy Researchers","Consumer > General Consumer > Solar Energy Researchers","Consumers researching products and services to use solar energy."
"Crafted Audience","Solar Energy Solution Shoppers","Consumer > Electronics > Solar Energy Solution Shoppers","Consumers comparing and shopping for solar energy products and services. These consumers are more likely to spend money on energy efficient products."
"Crafted Audience","Solitaire Players","Lifestyle > Activities > Solitaire Players","People playing solitaire and card games online."
"Content Cluster","Song Lyrics & Sheet Music","Content Clusters > Song Lyrics & Sheet Music","People in this audience are interested in song lyrics and sheet music."
"Location Audience","Sonic Drive In","Points of interest > Restaurants > QSR > Sonic Drive In","People in this audience have recently visited a Sonic Drive In location."
"Crafted Audience","Sony Fans","Consumer > Electronics > Sony Fans","People reading news about Sony and researching new product releases."
"Location Audience","Sothebys Real Estate","Points of interest > Services > Real Estate Brokers > Sothebys Real Estate","People in this audience have recently visited a Sothebys Real Estate location."
"Location Audience","SoulCycle","Points of interest > Health > Fitness Clubs > SoulCycle","People in this audience have recently visited a SoulCycle location."
"Content Cluster","South Africa News Cluster","Content Clusters > South Africa News Cluster","People in this audience are interested in news related to South Africa."
